problem_id,top_risk_rank,platform,target,scope,field_track_year_task_metric_or_gate,evidence,root_cause,user_impact,scientific_risk,priority,proposed_fix,prerequisites,effort,acceptance_test,fallback,evidence_path,evidence_locator
P-001,1,ALL,A-C model selection,validation protocol,track/cluster publication gate,生成器 1078-1126 用全部 outer held-out event 指标选择模型，1153-1185 又报告同一批指标。,把 outer folds 同时当模型选择验证集和最终测试集；没有嵌套验证或时间上后置的 confirmation fold。,用户会把 11 个 DeltaData 专用模型理解为经过独立最终测试。,选择偏差；最终 MAE/P90/max 不再是无偏发布证据。,P0,预注册模型族和阈值；按时间/事件建立 train→selection-validation→untouched-final-test 三层身份，最终折禁止参与任何模型或超参数选择。,冻结事件时间顺序、最少 final-test 事件数和回退规则。,L（5-8 人日）,测试读取 split_registry，断言每个发布模型至少有 2 个未被任何选择逻辑读取的 final-test events；篡改 final-test 标签不得改变 selected_model_type；最终指标单独发布。,在 final-test 完成前把 11 个专用模型降为 audit_only，产品回退 universal。,research/run_reference_analysis_lab_track_validation_v3.py,lines 1078-1185
P-002,2,DeltaData,deltadata,publication quality gate,australian-grand-prix/selected cluster/max_abs_error,澳大利亚 selected cluster MAE=2.012158s、P90=7.680258s、max=11.168040s 仍 publication_gate_passed=True；universal 自动通过。,发布门只约束相对 universal 改善和尾部退化，没有任务绝对误差上限。,产品可显示“通过”但单圈调整误差达到 11 秒。,相对较差基线的改善被误称为足够准确。,P0,在 selection-validation 上预注册绝对门，并仅在 untouched final test 上确认；Delta 调整试行门：MAE<=0.25s、P90<=0.50s、max<=1.50s，阈值变更必须在 final test 前冻结。,先完成 P-001；明确调整秒的产品容忍度。,M（3-5 人日）,澳大利亚当前模型必须 FAIL/audit_only；任何 universal 也必须通过相同绝对门；测试覆盖阈值边界。,不满足绝对门时不发布模型选择，只展示账本和 audit_only 内部诊断。,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/deltadata/model_comparison.csv,track_key=australian-grand-prix; model_type=cluster
P-003,3,F1pace|DeltaData|FDataAnalysis,A-C,target identity,v3 target vs public-platform truth,"A 预测本地 2s 交通代理；B 预测 v17 adjusted_pace_s-raw_lap_duration_s；C 对 F1 TR 自身 1,200 轴重采样。",把内部代理稳定性实验放在专业平台目标名下，但缺少逐点平台冻结真值。,用户可能把 0.0087 ratio、0.319s、0.00032 lap fraction 误读成对平台误差。,构念效度失配；内部拟合好不等于平台复刻准确。,P0,"机器可读地拆分 target_identity={internal_proxy,public_reference_truth}；报告标题和 UI 明示 INTERNAL_PROXY；只有 public_reference_truth 行可称平台 gap/convergence。",确定每目标可冻结的同场真值与许可边界。,M（3-5 人日）,schema 测试禁止 internal_proxy 指标出现在 same_scale_numeric_gap 或平台准确率摘要；所有 A-C 当前 v3 指标显示“内部稳定性”。,无外部真值时维持 UNKNOWN/NOT_TESTED，不发布差距收敛结论。,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/track_validation_v3.json,$.targets and $.title
P-004,4,ALL,release provenance,manifest/cache identity,generator code hash; dependency versions; cache config identity,v3 manifest 未记录生成器/库代码哈希和依赖版本；cache_is_valid 只校验 schema、event、source parquet 和缓存文件哈希。,生成和缓存身份没有绑定实现代码与完整配置。,当前源码无法被证明就是冻结产物生成源码；算法改动可能复用旧缓存。,不可复现或陈旧缓存造成静默污染。,P1,manifest 加入 generator/library/frontend git blob+SHA256、Python/依赖 lock；cache identity 加 algorithm_version、config_sha256、feature_schema_sha256。,确定依赖锁文件和缓存 schema 迁移策略。,M（2-4 人日）,修改任一算法常量或 config 后 cache_is_valid 必须失败；正式 manifest 的所有代码/依赖 hash 可重算一致。,身份不完整时强制全量重算且 status=PROVENANCE_INCOMPLETE。,research/run_reference_analysis_lab_track_validation_v3.py,lines 351-370;2677-2810
P-005,5,ALL,model support,Kish ESS gate,row-level ESS vs event clusters,fit_weight=sample_weight/该事件行数；ESS 按行计算可达数千，但 track fold 训练独立事件仅 2 个。,把相关行当独立支持单位；变量 sample_weight 还使事件总权重并非严格相等。,“Kish ESS 足够”给用户过强稳定性信号。,伪重复导致门槛虚高，置信度偏乐观。,P1,同时发布 event-cluster count、event-level ESS、driver/stint cluster bootstrap；track model 最少训练事件和 final-test 事件单独门控。,先定义独立抽样单位和事件权重。,M（3-5 人日）,track fold 只有 2 个训练事件时，不论行级 ESS 多大均 FAIL；事件总权重在容差 1e-9 内相等；输出 cluster CI。,样本不足时回退 cluster/universal，并标记 low_independent_support。,research/run_reference_analysis_lab_track_validation_v3.py,lines 927-946
P-006,6,F1pace,traffic_ratio,2025 Qatar external tail,HUL lap7/max_abs_error_pp,"外部零重拟合 1,067 单元 MAE=2.238pp、P90=6.848pp、max=72.309pp；参考颜色读数 max error 1.5pp。",连续比例模型在极端/缺失/图像单元上存在长尾，发布门只看 MAE/P90/分类准确率。,热图局部可严重错色，99.25% 分类准确率掩盖连续数值失败。,尾部误差可能改变逐圈解释。,P1,加入 max/conditional-tail 门、逐车手/圈型残差账本与图像读取不确定带；复核 HUL lap7、HAM lap38、COL lap1。,保留参考单元定位与颜色读数置信区间。,M（2-4 人日）,零重拟合 final event 的 max<=15pp、P99<=15pp，且所有 >10pp 单元有可审计原因；阈值须在新 final event 前冻结。,尾部门失败时仅发布 33% 分类，不发布连续比例色值。,frontend/public/data/reference-analysis-lab/v2/run=20260731T120000+0800-f1pace-reverse-engineered-v2/qatar_external_cells.csv,sort abs_error_pp desc; HUL lap7
P-007,7,F1TelemetryData,qualifying_q1_q2_q3_phase,reference truth identity,2025 Abu Dhabi/status,chart_reference_matrix 把 Q phase 标为 REFERENCE_INFORMED_SAME_EVENT/public_reference_available=True；model_comparison 同任务为 NOT_TESTED。,is_public_reference 分支先于 Q phase 缺口分支，事件级有参考被错误扩张为任务级有数值参考。,UI/统计可能把缺真值任务算成已参考验证。,NOT_TESTED 被污染，优势率/覆盖率可能虚增。,P1,按 event×task 定义 public_numeric_truth_available；Q phase 在没有逐阶段真值时始终 NOT_TESTED。,梳理 7 个 chart task 的独立证据清单。,S（1-2 人日）,2025 Abu Q phase 两张表状态一致为 NOT_TESTED；自动测试禁止 event-level boolean 覆盖 task-level truth。,暂时从 reference_matrix 的 public rows 计数中排除 Q phase。,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/f1telemetrydata/chart_reference_matrix.csv,event=2025-24-abu-dhabi-grand-prix; task=qualifying_q1_q2_q3_phase
P-008,8,ALL,frontend,layer isolation and holdout wording,state.layer/renderComparison/renderCoverage,layer 仅切换 method card active；comparison/coverage/registry 使用同一数据。UI 称专用模型在“完全留出的年份上稳定改善/holdout gate passed”。,视觉层与 audited 层没有独立数据源，且把 selection fold 写成最终 holdout。,用户以为切换后看到了不同证据层，并高估验证强度。,语义混排和验证身份误导。,P1,给每层独立 data_source/metric_role/legend；内部代理与外部真值分表；改文案为“selection-validation gate passed; final confirmation NOT_TESTED”。,先完成 P-001/P-003 的 schema 身份。,M（3-5 人日）,E2E 切层后至少一个 dataset id 和表行集合改变；快照断言不再出现“完全留出/holdout passed”直到 final-test PASS。,在分层完成前移除 layer 控件，固定显示 audited_analysis。,frontend/src/track-validation-v3.js,lines 331-350;375-404;548-560
P-009,9,ALL,model uncertainty,2-3 event track metrics,confidence intervals and fold stability,多数赛道只有 2-3 个 test events；fold improvement 2/3 即可通过，未发布 cluster bootstrap/CI。,点估计发布门没有表达事件间方差和小样本不确定性。,用户看见精确改善百分比却不知道其区间可能跨过零。,模型选择不稳定、最坏尾部不可预期。,P1,按事件 cluster bootstrap 或时间块 bootstrap 发布 MAE/P90 improvement CI；最终折只做确认，不参与 CI 阈值选择。,P-001 的数据身份；至少 3 个 selection events。,M（3-5 人日）,专用模型只有在改善 90% CI 下界>0、最坏折不劣化且 final-test 过门时发布；不足则 audit_only。,样本不足时只发布点估计+WIDE_UNCERTAINTY，不选专用模型。,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/deltadata/model_comparison.csv,"columns=test_events,fold_improvement_share"
P-010,10,F1pace|DeltaData|FDataAnalysis,registry semantics,reference use identity,reference_informed flag,A-C registry 写 reference_informed=False，但方法、阈值和特征设计已看过公开参考；blind_holdout_claim_allowed=False。,单一 boolean 混合了“参考用于设计”“参考用作拟合目标”“最终确认盲测”三种身份。,用户会把 false 理解为完全盲设计。,参考泄漏语义不清，难以审计选择偏差。,P1,拆为 method_design_reference_informed、reference_used_as_fit_target、selection_reference_seen、confirmation_blind 四字段。,逐目标建立证据使用登记。,S（1-2 人日）,A-C 的 method_design_reference_informed=True；只有未见过的 final confirmation 可 confirmation_blind=True。,无法拆分前统一标记 REFERENCE_INFORMED_NOT_BLIND。,research/run_reference_analysis_lab_track_validation_v3.py,lines 1149-1150;1945-1946
