backlog_id,category,title,priority,top5_rank,dependency_order,dependencies,prerequisites,expected_effort,acceptance_threshold,verifiable_benefit,code_changes,test_changes,artifacts,documentation,fallback
B-001,算法改进,建立 selection-validation 与 untouched final-test 三层协议,P0,1,1,无,冻结时间顺序、final 事件数、回退规则,L（5-8 人日）,每个发布模型至少 2 个 final events；final 标签不参与选择；最终 MAE/P90/max 单独输出。,消除选择复用偏差；11 个 DeltaData 专用模型获得可验证确认或自动回退。,research/run_reference_analysis_lab_track_validation_v4.py 或新增 protocol 模块；不回写 v3。,新增 split disjointness、final-label invariance、selection perturbation tests。,split_registry_v4.csv、selection_registry.json、final_confirmation.json。,docs/algorithm-models.md、docs/implementation-results.md、docs/progress.md。,未完成前专用模型 audit_only，保留 universal。
B-002,算法改进,加入绝对误差门、尾部门和事件簇不确定区间,P0,2,2,B-001,产品容忍度与 final-test 身份,M（3-5 人日）,Delta 试行 MAE<=0.25s、P90<=0.50s、max<=1.50s；改善 90% cluster-CI 下界>0；阈值在 final test 前冻结。,当前 Australia 11.168s 模型自动 FAIL；避免相对坏基线的伪发布。,candidate_publication_decision v4、event-cluster bootstrap。,绝对门边界、Australia 回归、CI 可重复性测试。,absolute_gate_registry.json、uncertainty.csv、tail_ledger.csv。,docs/algorithm-models.md、docs/implementation-results.md。,门失败则 audit_only 且回退 universal/no-model。
B-003,当前冻结数据即可完成,补齐代码/配置/依赖/缓存/时间身份,P1,3,1,无,确定 cache schema v4 与依赖锁,M（2-4 人日）,所有生成代码、config、lock hash 可重算；任一算法/config 改动强制 cache miss；frozen<=started<=finished。,把“当前源码产生当前产物”从推断变为可验证事实。,manifest writer、cache_is_valid、run clock identity。,hash graph、cachebuster、future-time rejection tests。,provenance.json、cache identity v4、environment-lock.txt。,docs/implementation-results.md、docs/progress.md。,身份不完整时全量重算并标 PROVENANCE_INCOMPLETE。
B-004,需新增公开数据冻结,扩充五目标同场数值真值并保留最终事件,P1,4,3,"B-001,B-003",许可允许的 URL/图片/表值冻结,L（5-10 人日，受公开数据可得性约束）,每个可量化目标至少 3 个独立事件、2 条赛道；至少 1 个事件 untouched final；URL/抓取时间/page id/hash/读图误差齐全。,把 FData/GP 段内/Q phase 的 UNKNOWN/NOT_TESTED 转为可审计同量纲指标。,只新增 reference freezer、transcription schema 和 reader uncertainty 模块。,hash/许可/坐标标定、零重拟合 final-event 测试。,reference_inventory.json、frozen truth tables、attempts.jsonl。,method cards、data-gap audit、docs/algorithm-models.md。,三次实质不同尝试仍无真值则保持 UNKNOWN/NOT_TESTED。
B-005,可视化/产品改进,真正分离 visual_replication 与 audited_analysis 并修正文案,P1,5,4,"B-001,B-003",定义每层独立 dataset id/metric role,M（3-5 人日）,切层后数据源和表行集合确实变化；internal_proxy/外部 truth 标签始终可见；无 final PASS 时不出现 holdout passed。,消除证据混排和验证强度误导，用户能区分“像平台”与“可审计”。,frontend/src/track-validation-v4.js、数据 schema；不修改冻结 v3 页面。,E2E layer isolation、文案禁词、任务状态渲染测试。,两层独立 public JSON、browser acceptance manifest。,用户指南、docs/implementation-results.md。,无法分层时移除 layer 控件，只显示 audited_analysis。
B-006,当前冻结数据即可完成,修复 D 目标 Q phase 状态与任务级 registry,P1,,2,B-003,7 个 task 的 evidence inventory,S（1-2 人日）,2025 Abu Q phase 两表均 NOT_TESTED；registry 具有 24×7 个 task identities；team throttle max=3.084442pp。,防止 NOT_TESTED 被计作已参考，恢复任务级尾部可见性。,v4 generator task truth matrix；不回写 v3。,event×task truth、registry cardinality、metric completeness tests。,chart_reference_matrix_v4.csv、task_model_registry.json。,docs/implementation-results.md。,v3 审计层继续覆盖矛盾并从计数排除。
B-007,当前冻结数据即可完成,发布正式采样频率、缺失率与处理链,P1,,2,B-003,采样统计定义,S（1-2 人日）,70/70 event 有 source/resampled Hz、missing、interpolation、smoothing；与缓存重算误差<1e-9。,控制占比与段内曲线差异可被追踪到处理身份。,coverage schema v4 和 sample identity collector。,70-event sampling identity test。,sampling_registry.csv。,docs/database.md（若 schema 变更）、docs/algorithm-models.md。,缺采样身份的任务 NOT_TESTED。
B-008,算法改进,改为事件级支持门与事件簇 bootstrap,P1,,2,B-001,独立抽样单位定义,M（3-5 人日）,track fold 独立训练事件<3 时 FAIL；事件总权重相等；发布 event-level ESS 与 90% CI。,阻止行级伪重复把 2 个事件包装成数千 ESS。,weighting/ESS/cluster bootstrap 模块。,event weight equality、low-cluster failure tests。,support_registry.json、uncertainty.csv。,docs/algorithm-models.md。,支持不足回退 cluster/universal。
B-009,算法改进,F1pace 连续比例尾部专门校准,P1,,3,"B-001,B-004",新外部 final event 和读图不确定度,M（2-4 人日）,预注册 final event max<=15pp、P99<=15pp；所有 >10pp 单元有原因账本。,在不牺牲 33% 分类的前提下压低 72.3pp 极端误差。,tail calibration/abstention，禁止对 final event 调参。,HUL/HAM/COL 回归、final zero-refit tests。,tail_ledger.csv、reader_uncertainty.json。,method card、implementation results。,尾部失败时只发布分类，不发布连续比例。
B-010,需新增公开数据冻结,获取 FData 同场距离轴和 GP Tempo 段内逐点真值,P1,,3,B-003,许可和可机器读取的公开真值,L（5-8 人日，可能不可得）,FData/GP 各>=3 事件；逐点真值带轴标定/读取误差；1 个 final event。,首次允许报告真正的逐点 MAE/P90/max，而非端点或自一致性。,reference freezer/axis calibrator。,same-event identity、axis monotonicity、reader uncertainty tests。,point_truth.csv、calibration.json。,method cards。,不可得时永远 UNKNOWN/NOT_TESTED，不估算 MAE。
