row_id,platform,target,subtask,reference_capability,f1tr_evidence,same_scale_numeric_gap,status,confidence,severity,evidence_path,evidence_locator,limitations,relative_position,comparison_scope,unit,metric,gap_value,reference_sample_size,finding_category,counts_toward_advantage_rate
F1P-01,F1pace,race_pace,2025 Abu Dhabi 车手平均圈速,公开同场表给出 20 名车手平均圈速。,20/20 行在 0.001 s 冻结容差内，最大绝对差 0.000491 s。,max_abs_gap=0.000491 s; tolerance=0.001 s,PASS,high,P2,research/records/reference_analysis_lab_v1/f1pace/run=20260730T154800+0800-f1pace-abu-dhabi-v1/validation.json,$.mean_abs_difference_max_s,这是表值复算一致性，不证明清洗、燃油或因果方法与平台相同。,PARITY,same_event_same_task_same_unit,seconds,max_abs_error,0.000491,20,VERIFIED_SAME_SCALE,False
F1P-02,F1pace,traffic_ratio,2025 Qatar 外部零重拟合交通比例,逐车手逐圈颜色网格给出交通比例代理真值。,"1,067 个同场单元：MAE 2.238343 pp，P90 6.847727 pp，max 72.308835 pp。",MAE=2.238343 pp; P90=6.847727 pp; max=72.308835 pp,FAIL,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T120000+0800-f1pace-reverse-engineered-v2/f1pace_traffic_reverse_engineered_v2.json,$.calibration.external_validation,参考真值来自图片颜色读数；颜色读数自身 MAE 0.473 pp、max 1.5 pp，仍不能解释 72.3 pp 尾部。,BEHIND,same_event_same_task_same_unit,percentage_points,mae_pp,2.2383428745207405,1067,VERIFIED_SAME_SCALE,False
F1P-03,F1pace,traffic_classification,2025 Qatar 33% 交通圈阈值分类,公开图以 33% 交通占比解释交通圈。,外部零重拟合分类准确率 99.250234%，不一致率 0.749766%。,classification_disagreement=0.749766 percentage points,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T120000+0800-f1pace-reverse-engineered-v2/f1pace_traffic_reverse_engineered_v2.json,$.calibration.external_validation.traffic_lap_accuracy,高分类准确率会掩盖连续交通比例的长尾；不能替代比例 MAE/P90/max。,PARITY,same_event_same_task_same_unit,percentage_points,classification_disagreement,0.74976569821931,1067,VERIFIED_SAME_SCALE,False
F1P-04,F1pace,traffic_semantics,物理前车 2 秒交通窗口,公开说明采用 2 秒固定交通语义。,F1 TR audited_analysis 使用同位置 crossing headway <=2s。,N/A — exact disclosed method constant,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T120000+0800-f1pace-reverse-engineered-v2/f1pace_traffic_reverse_engineered_v2.json,$.audited_analysis.definition,同一阈值不等于逐点前车配对、缺失处理或积分方法完全相同。,PARITY,same_method_invariant,seconds,traffic_window,0.0,,VERIFIED_METHOD_MATCH,False
F1P-05,F1pace,traffic_semantics,33% 交通圈判定,公开图的 traffic lap 语义为一圈超过 33%。,F1 TR 同阈值计算 traffic_laps_over_33pct。,N/A — exact disclosed threshold,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T120000+0800-f1pace-reverse-engineered-v2/f1pace_traffic_reverse_engineered_v2.json,$.visual_replication.*_driver_summary,阈值语义持平不表示连续比例数值持平。,PARITY,same_method_invariant,ratio_fraction,lap_threshold,0.0,,VERIFIED_METHOD_MATCH,False
F1P-06,F1pace,pairwise_delta,同场 pairwise delta 反对称,"两车差值矩阵应满足 delta(A,B)=-delta(B,A)。",70 个事件的 max_antisymmetry_error_s 全部为 0。,max_antisymmetry_error=0 s,PASS,high,P2,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/f1pace/pairwise_invariants.csv,rows=70; column=max_antisymmetry_error_s,这是结构不变量，不是对 F1pace 私有 pairwise 数值的外部检验。,PARITY,same_method_invariant,seconds,max_antisymmetry_error,0.0,70,VERIFIED_METHOD_MATCH,False
F1P-07,F1pace,algorithm_identity,平台完整交通算法、积分和缺失规则,公开资料未披露完整实现。,本地实现是可解释物理重建，one_to_one_status=SKIPPED_OPAQUE_METHOD。,UNKNOWN,UNKNOWN,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T120000+0800-f1pace-reverse-engineered-v2/f1pace_traffic_reverse_engineered_v2.json,$.one_to_one_status,闭源，无法判定算法等价或完整产品能力。,UNKNOWN,opaque_product_scope,,,,,UNKNOWN_CLOSED_METHOD,False
F1P-08,F1pace,external_isolation,外部参考不得进入训练,平台自身训练资料不可见。,2025 Qatar/Abu Dhabi 在 v3 F1pace split 中作为 frozen_training_exclusions。,NOT_COMPARABLE — protocol evidence only,PASS,high,P2,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/f1pace/split_registry.csv,column=frozen_training_exclusions,这是 F1 TR 方法学强项，不能据此推断平台准确率或平台没有隔离。,UNKNOWN,f1tr_internal_protocol_only,,,,2,METHOD_ONLY,False
F1P-09,F1pace,coverage,跨赛季公开产品覆盖,本地冻结只覆盖两个同场参考事件，不能代表平台全部历史页面。,"v3 内部代理覆盖 70 events/24 tracks、77,720 driver laps。",UNKNOWN,UNKNOWN,medium,P2,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/f1pace/coverage_matrix.csv,"rows=24; columns=driver_laps,eligible_driver_laps",内部代理覆盖广度不能与未完整抓取的平台产品覆盖比较。,UNKNOWN,different_evidence_universe,,,,,UNKNOWN_PRODUCT_SCOPE,False
F1P-10,F1pace,v3_internal_tail,v3 交通代理最坏尾部,没有同单元平台真值。,内部代理最坏为 2024 Japan SAI lap 2，绝对误差 0.523868 ratio。,NOT_COMPARABLE_INTERNAL_PROXY,FAIL,high,P1,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/f1pace/event_predictions.csv,event=2024 Japanese GP; driver=SAI; lap=2; selected=universal,只能证明当前内部重建存在尾部，不得换算为对 F1pace 的数值差距。,UNKNOWN,f1tr_internal_proxy_only,ratio_fraction,max_abs_error,0.523868,1,INTERNAL_ONLY,False
